File Path,API_Group_1,API_Group_2,API_Group_3,API_Group_4,API_Group_5,API_Group_6,API_Group_7,API_Group_8,API_Group_9,API_Group_11,API_Group_12,API_Group_13,API_Group_14,API_Group_15,API_Group_16,API_Group_17,API_Group_18,API_Group_19,API_Group_20,Label
/content/drive/MyDrive/y/ransomware/0E6674DE9D35BF6F6AA7A82530E8D9144AF81781DC6471CF8D181BF16A8CB4D3,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/352353EA70FCD3CD7750136193A355332196D3689AFE263B3AA5E5D3528E5562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/4D6966A04513566B45C3A9488D1F3BEDDEA433FE93E29E6CCAE9789F9B300C74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/00B127AC8F5C6E012B2C9C33087093B01360EC5DC5E76F4DE52C052E023786CE,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/00D8D828FF67789E6D4DC7D91A1BA033B097FFF35B23CD5241A481A4CCC21EC1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/03D0485D1336934BF5959F7742650DCFCEE6F258F89C9B39522AB056D6B603E6,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/8C8B5F3BCBBE43CD7D012FD2E3B440023AE668CD37702E766EC26714B44101EB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0696960F1A0FA8DD677939E47AC9742AB850115607CEF951F6CD7E2AC7C3259A,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/56E557A64B9A35AB77C4493867BB1C5A58F49A0BA9C949684D620ED8E83FD4A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/2939775D1030A43A17D129942EAF6B547454A2C29D595E6B7EC97C6F90EC36BB,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/454756725D005FCF54483BF6B6AE28E3966633728D6BD750D4E5236077487771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/06F2DE8C31A19480CE60596F3ED9794C6D6B990E3642F04E57CDBF64F5EB9660,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/5E0587E61D94A40091480A2F5F78621362265B8702B3558A0DB536693159865F,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/3BB728E911FC190945CAD059621E5C1E1685FFA080FD07D5A291D10C4C9BE19A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/04F30D71F17DB5049972BE6608E57DD6737B7E6F338AD98335514AF61E78B7CC,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/1E24560100D010C27CC19C59F9FE1531E4286ECB21FE53763165F30C5F58DC90,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1
/content/drive/MyDrive/y/ransomware/A9787581BE4C667438A07A060137D6A83ABCC2D1E33EEF1086622DECE56BB48F,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/04DCB0677295DC4F727D6ABD25F597FADEEDEFA141AA61479C1A2EB2A0A7DF0C,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/070EAB5E8A6917BD3E16A08C3EC4730020A3AA0EEFFF4A5E16B35CD0AA0B4A82,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/079D055DE7B792567965D2B33C7DCD92C5C35A98F1885E538EA2AC32C40703C0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/CBDC8FD073176C4E0328AFF65147F37E5D46847DE62508E7A3CF12F49A40B799,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1
/content/drive/MyDrive/y/ransomware/0BE3575BA4077A2E2C81B2522A8AF7258D7990ACD20CCCA6A0E6937A15B15B08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
