File Path,API/DLL_1,API/DLL_2,API/DLL_3,API/DLL_4,API/DLL_5,API/DLL_6,API/DLL_7,API/DLL_8,API/DLL_9,API/DLL_10,API/DLL_11,API/DLL_12,API/DLL_13,API/DLL_14,API/DLL_15,API/DLL_16,API/DLL_17,API/DLL_18,API/DLL_19,API/DLL_20,API/DLL_21,API/DLL_22,Label
/content/drive/MyDrive/y/ransomware/42EB9155919AD58146952E81583CF9256368A2A9695AF31854D33C929A81E1EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/C518C11EF985DF86BE87B2076CB06609ADDD1AEFA3E6AA9A7A03FA633604F5FA,4,3,0,5,3,3,2,4,6,5,11,5,2,2,4,1,3,1,3,19,2,5,1
/content/drive/MyDrive/y/ransomware/81CA80C8275B0FDFEEF2A816A7BF567F8E9A145B03AB96138C527AF5C79BBEC2,6,3,0,5,4,3,2,4,6,5,12,5,2,2,4,1,3,1,0,19,2,5,1
/content/drive/MyDrive/y/ransomware/FC12DE55F162CD0645E6F7299F6160D1A3B4C3A665EFAF4F8BD891D8139D159E,4,3,0,5,3,3,2,4,6,5,11,5,2,2,4,1,3,1,3,19,2,5,1
/content/drive/MyDrive/y/ransomware/011F48F955B65A2FBD570B17BB40C39CA1575D52EB25FABEF0A66651BE0EA88A,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,4,1
/content/drive/MyDrive/y/ransomware/00CE890733B76A4A28523664B4EBA086CB66B1EB446B7503C9F8F3FFDDDAA7E5,3,0,4,0,4,3,2,1,1,0,1,2,0,1,3,0,2,1,0,9,2,5,1
/content/drive/MyDrive/y/ransomware/2F25378705B6F18C2BED52B0A728F1A740BE274DD5FA803CBCF215DCC6006375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/02A999CF3AE65A6C4E10AE08F6403111E8C356AC96C459CF608CAF4DF8BA724C,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/0383FE97F267FE81C9C5181172A7DB649EE9D57F16B6CF5B567CCB3821EB2FB4,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,4,1
/content/drive/MyDrive/y/ransomware/1DB77C8538B5D0F7A65C5143D1F50620E6E157054583BF3732D6417D56973B93,2,0,5,0,3,3,1,2,0,0,10,2,1,1,3,1,3,0,0,12,1,4,1
/content/drive/MyDrive/y/ransomware/2939775D1030A43A17D129942EAF6B547454A2C29D595E6B7EC97C6F90EC36BB,3,0,0,0,4,3,0,1,0,0,10,2,1,1,3,1,3,0,0,12,1,3,1
/content/drive/MyDrive/y/ransomware/0615DFBF359F66DE69F65E53AFEA0AF1F7CAD8A6165C54D5B60CD2D1CAAE948F,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/70B4D6855A4614AA3AAAD35022EEE5902FFF27227D03AFD7F6E3D4AF7EFF2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/25FB938FC7E7680CA8830A02F3BC8FE0AFF8C50044B0F62E48F3A58027F57459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/00B98B69AEDEB0F480B99CFC28E40C3E3BD5EFB2A04B10FB14F092AD9B99C9F8,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/032D7B1C6A3C39424E507D43816DDCD1A2DE6A2CCDF5C369525DFCECEE115101,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,4,1
/content/drive/MyDrive/y/ransomware/089929F1CDE37E9FD14DD09A7844272678AC48E47887EDE23B561D156FE50057,2,2,0,0,0,2,1,0,1,0,1,2,0,1,2,0,3,0,0,8,2,3,1
/content/drive/MyDrive/y/ransomware/0A235E8B77053FF105224D3C1C6E4E659DF590CD6CD557F8434E9A70D7B97B0C,3,0,1,0,3,3,1,2,0,0,10,3,1,1,3,1,3,0,0,13,0,3,1
/content/drive/MyDrive/y/ransomware/03BF09B9B4E60210F4AB657CB7F2E0F036C7C3A2FA4A35D0C371B7826830E43F,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
/content/drive/MyDrive/y/ransomware/0D87FC25DD97D3216BEB4439056362EC217A55915CA645E499BB2A3FDA4F4D64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/000C0E0F2DC0A0E16532E3717E712F7EA01CAFDFBEBF0831346C9D86C3055FB5,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,2,0,0,2,0,1,1
/content/drive/MyDrive/y/ransomware/63AB14D2F3AF398E5480104CDD05E3FE880E75A3F949A86EAFD7C841384B8472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/1C160710FAB2136EF9DF5BB2CFD5461B9FD3A9EADE3F90C31628EE1090CD31FD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/12D7676BFD37DAB9F7B4F34B27856899436D1D445FC04D91A32769B28419E24C,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,2,0,0,2,0,1,1
/content/drive/MyDrive/y/ransomware/8EDD7565895FC9E8E9E14B3835950E89BF577EA37A344160CC3C09A2665DA68F,3,0,5,0,4,3,2,1,1,0,1,2,0,1,3,0,2,1,0,9,2,5,1
/content/drive/MyDrive/y/ransomware/084DE55E2316E45B48654FDF2478205CC70B08D03B4EAD3261E2AE0B23EC6B12,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,2,0,0,2,0,1,1
/content/drive/MyDrive/y/ransomware/ACF20802D81B7D1BE9D9ED842D5460765F3DD1EA9D426C2584122F20F02D686C,2,2,0,1,3,3,1,0,1,0,3,2,0,1,3,0,2,0,3,11,2,4,1
/content/drive/MyDrive/y/ransomware/1466C031A8D5A41796AD110B2F424231820EA331FF9475314602CAF982488EDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/1EB10B334BDA938FCC3AA81E53C52CDEAC6E362A8FE6A40F9CC404C49E4ECC29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/08DEC36369AECFA6E43E007BBF4867455F76A6BF10265D22B248DEDFBA629055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/06B3F41DB56744103AEFBD2BC752001EFDDC9DF2B9BEBE297575225CBD1C7661,3,0,0,5,3,1,1,1,1,0,2,1,0,1,3,0,1,1,0,11,3,5,1
