File Path,API/DLL_1,API/DLL_2,API/DLL_3,API/DLL_4,API/DLL_5,API/DLL_6,API/DLL_7,API/DLL_8,API/DLL_9,API/DLL_10,API/DLL_11,API/DLL_12,API/DLL_13,API/DLL_14,API/DLL_15,API/DLL_16,API/DLL_17,API/DLL_18,API/DLL_19,API/DLL_20,API/DLL_21,API/DLL_22,API/DLL_23,API/DLL_24,API/DLL_25,API/DLL_26,API/DLL_27,API/DLL_28,API/DLL_29,Label
/content/drive/MyDrive/y/ransomware/0123CD88CDEB9FB9927AE7C92337B95ED0F0EC9CA80B71FD22B4A0AD266528C6,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/3C61A15CE8A583A4B243E8D05D1E4BDA053E0CFD44A97D2BB05A44F73DCE80E0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/05ADDF08963D98E21F42B0AD27E0F34622B58B37F6225090E9C41D573730D6D5,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/0C3FD0AA9520D1E2C79E8EC7BA835C32ABE439B174AB8BDD1A106AF4F7D980C7,3,0,0,4,0,4,3,2,1,1,1,3,0,0,1,2,0,1,3,0,0,0,1,2,2,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/01EDA8982D7CD8EDF6B6926EA3B9A8A66C813DAD030D63ECFBEE1CA2914E8F84,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/008729F7A4CBDD8C236FD29403EBF1EFF499EF5FA6BFAE3D28BFB8DCFF963ED1,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/45031B48FD957C9FF863B805684CACEB21CAF23F1CFFADE15915E88BD009C347,4,2,3,0,5,3,3,2,4,1,6,4,2,5,11,5,2,2,4,1,1,1,1,3,7,1,0,0,3,1
/content/drive/MyDrive/y/ransomware/C518C11EF985DF86BE87B2076CB06609ADDD1AEFA3E6AA9A7A03FA633604F5FA,4,2,3,0,5,3,3,2,4,1,6,4,2,5,11,5,2,2,4,1,1,1,1,3,7,1,0,0,3,1
/content/drive/MyDrive/y/ransomware/0622BC7153AF5D86434A0FB2FEFF749BECE5A9576DF453BB6E279BF4086BF75C,3,0,0,0,5,3,1,1,1,2,1,2,0,0,2,1,0,1,3,0,0,0,0,1,0,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/2AB82DF56D3DE6A52A32042D9ABE7CC1CF97FD1D9D5214A865330DF41D8F3E12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
